U 101 | F 413696 | FPS 0444 | D 938 | rR:μσmM 0.86 0.11 0.00 0.98 | F:μσmM 22.4 16.8 3.0 144.0 | H 1.528 | V 0.633 | pL -0.036 | vL 0.018 | ∇ 0.166
U 102 | F 417792 | FPS 0480 | D 947 | rR:μσmM 0.46 0.36 0.00 0.92 | F:μσmM 150.2 96.8 31.0 360.0 | H 1.769 | V 0.279 | pL 0.088 | vL 0.015 | ∇ 0.143
U 103 | F 421888 | FPS 0401 | D 957 | rR:μσmM 0.86 0.09 0.39 0.99 | F:μσmM 22.9 15.1 2.0 97.0 | H 1.547 | V 0.691 | pL -0.029 | vL 0.009 | ∇ 0.065
U 104 | F 425984 | FPS 0423 | D 967 | rR:μσmM 0.37 0.32 0.00 0.91 | F:μσmM 186.9 100.0 37.0 360.0 | H 1.702 | V 0.252 | pL 0.142 | vL 0.009 | ∇ 0.097
U 105 | F 430080 | FPS 0470 | D 975 | rR:μσmM 0.81 0.13 0.26 0.98 | F:μσmM 29.9 20.8 4.0 118.0 | H 1.616 | V 0.570 | pL -0.094 | vL 0.020 | ∇ 0.204
U 106 | F 434176 | FPS 0494 | D 984 | rR:μσmM 0.32 0.33 0.00 0.86 | F:μσmM 201.2 104.6 48.0 362.0 | H 1.652 | V 0.255 | pL 0.064 | vL 0.013 | ∇ 0.104
U 107 | F 438272 | FPS 0501 | D 992 | rR:μσmM 0.86 0.09 0.33 0.99 | F:μσmM 21.8 13.8 2.0 107.0 | H 1.467 | V 0.731 | pL -0.132 | vL 0.010 | ∇ 0.138
U 108 | F 442368 | FPS 0495 | D 1000 | rR:μσmM 0.41 0.34 0.00 0.92 | F:μσmM 171.1 118.9 14.0 362.0 | H 1.676 | V 0.291 | pL 0.104 | vL 0.012 | ∇ 0.104
U 109 | F 446464 | FPS 0496 | D 1008 | rR:μσmM 0.87 0.10 0.16 0.98 | F:μσmM 21.4 15.6 3.0 134.0 | H 1.455 | V 0.708 | pL -0.091 | vL 0.013 | ∇ 0.102
U 110 | F 450560 | FPS 0508 | D 1017 | rR:μσmM 0.46 0.34 0.00 0.94 | F:μσmM 155.8 100.0 26.0 360.0 | H 1.672 | V 0.219 | pL 0.097 | vL 0.010 | ∇ 0.099
